participant_id	study	session_id	euler	rater_1	rater_3	rater_4	rater_5	rater_6	across_rater_average	qc_determination
A00037768	NKI	BAS1	-78			1	1	1	1	Pass
A00037783	NKI	BAS1	-64			1	1	1	1	Pass
A00037784	NKI	BAS1	-50	1	1	1	1	1	1	Pass
A00037817	NKI	BAS1	-86	1	1	1	1	1	1	Pass
A00037817	NKI	BAS2	-97	1	1	1	1	1	1	Pass
A00037817	NKI	FLU1	-110	1	1				1	Pass
A00037818	NKI	BAS1	-72	1	1	1	1	1	1	Pass
A00037831	NKI	BAS1	-30	1	1				1	Pass
A00037848	NKI	BAS1	-57		0.75	1		1	0.916666667	Artifact
A00037848	NKI	BAS2	-211			0.5	0.25	0	0.25	Artifact
A00037866	NKI	BAS1	-83		1	1		1	1	Pass
A00037877	NKI	BAS1	-29			1	1	1	1	Pass
A00038115	NKI	BAS1	-48	1	1				1	Pass
A00038158	NKI	BAS1	-89	1	1				1	Pass
A00038159	NKI	BAS1	-56	1	1				1	Pass
A00038189	NKI	BAS1	-55	1			1		1	Pass
A00038285	NKI	BAS1	-47		1	1		1	1	Pass
A00038411	NKI	BAS1	-19			1	1	1	1	Pass
A00038414	NKI	BAS1	-66	1			1		1	Pass
A00038414	NKI	BAS2	-65	1	1				1	Pass
A00038414	NKI	FLU1	-63	1			1		1	Pass
A00038424	NKI	BAS1	-85	1	1				1	Pass
A00038424	NKI	BAS2	-143	1	1	1	1	1	1	Pass
A00038519	NKI	BAS1	-57	1	1	1	1	1	1	Pass
A00038520	NKI	BAS1	-77		1	1		1	1	Pass
A00038522	NKI	BAS1	-82	1	1	1	1	1	1	Pass
A00038603	NKI	BAS1	-132	1			1		1	Pass
A00038605	NKI	BAS1	-66		1	1		1	1	Pass
A00038616	NKI	BAS1	-43	1	1	1			1	Pass
A00038623	NKI	BAS1	-81	1	1				1	Pass
A00038623	NKI	BAS2	-95	1	1				1	Pass
A00038623	NKI	FLU1	-73	1	1	1	1	1	1	Pass
A00038623	NKI	FLU2	-81	1	1	1	1	1	1	Pass
A00038642	NKI	BAS1	-55	1			1		1	Pass
A00038642	NKI	BAS2	-47			1	1	1	1	Pass
A00038706	NKI	BAS1	-78	0.75	1	1	0.75	1	0.9	Artifact
A00038718	NKI	BAS1	-65			1	1	1	1	Pass
A00038731	NKI	BAS1	-41			1	1	1	1	Pass
A00038805	NKI	BAS1	-101	1			1		1	Pass
A00038806	NKI	BAS1	-71	1	1				1	Pass
A00038806	NKI	BAS2	-65	1	1	1	1	1	1	Pass
A00038806	NKI	FLU1	-61	1			1		1	Pass
A00038806	NKI	FLU2	-73			1	1	1	1	Pass
A00038817	NKI	BAS1	-25	1	1				1	Pass
A00038831	NKI	BAS1	-65		0.75	1		1	0.916666667	Artifact
A00038832	NKI	BAS1	-54	1	1	1	1	1	1	Pass
A00038957	NKI	BAS1	-32			1	1	1	1	Pass
A00038959	NKI	BAS1	-284	0	0.5				0.25	Artifact
A00038998	NKI	BAS1	-71			1	1	0.75	0.916666667	Artifact
A00038998	NKI	BAS2	-63	1			1		1	Pass
A00039040	NKI	BAS1	-110	1			1		1	Pass
A00039041	NKI	BAS1	-50	1	1	1			1	Pass
A00039074	NKI	BAS1	-54	1	1	1	1	1	1	Pass
A00039075	NKI	BAS1	-37		1	1		1	1	Pass
A00039083	NKI	BAS1	-94		1	1		1	1	Pass
A00039084	NKI	BAS1	-32	1	1				1	Pass
A00039118	NKI	BAS1	-32	1			1		1	Pass
A00039143	NKI	BAS1	-43			1	1	1	1	Pass
A00039159	NKI	BAS1	-59	1	1	1	1	1	1	Pass
A00039168	NKI	BAS1	-212	0.75	0.75	1	1	1	0.9	Artifact
A00039218	NKI	BAS1	-94		1	1		1	1	Pass
A00039249	NKI	BAS1	-23	1			1		1	Pass
A00039257	NKI	BAS1	-59	1	0.75	1	1	1	0.95	Artifact
A00039276	NKI	BAS1	-75		1	1		1	1	Pass
A00039277	NKI	BAS2	-52		1	1		1	1	Pass
A00039331	NKI	BAS1	-36	1	1				1	Pass
A00039353	NKI	BAS1	-51	1			1		1	Pass
A00039353	NKI	BAS2	-31	1			1		1	Pass
A00039353	NKI	FLU2	-35			1	1	1	1	Pass
A00039391	NKI	BAS1	-27	1	0.75				0.875	Artifact
A00039391	NKI	BAS2	-36	1			1		1	Pass
A00039391	NKI	FLU1	-47	1			1		1	Pass
A00039391	NKI	FLU2	-56			1	1	0.5	0.833333333	Artifact
A00039393	NKI	BAS1	-35	1	1	1	1	1	1	Pass
A00039431	NKI	BAS1	-40	1	1	1	1	1	1	Pass
A00039432	NKI	BAS1	-30		1	1		1	1	Pass
A00039461	NKI	BAS1	-88	1	1	1	1	1	1	Pass
A00039463	NKI	BAS1	-41	1	1	1			1	Pass
A00039488	NKI	BAS1	-47	1	1				1	Pass
A00039488	NKI	BAS2	-33		1	1		1	1	Pass
A00039490	NKI	BAS1	-124	1	1	1	1	1	1	Pass
A00039500	NKI	BAS1	-61	1	1	1	1	1	1	Pass
A00039559	NKI	BAS1	-39			1	1	1	1	Pass
A00039560	NKI	BAS1	-38	1	1				1	Pass
A00039560	NKI	BAS2	-60	1			1		1	Pass
A00039560	NKI	FLU1	-41			1	1	1	1	Pass
A00039560	NKI	FLU2	-41	1			1		1	Pass
A00039593	NKI	BAS1	-24	1	1	1	1	1	1	Pass
A00039593	NKI	BAS2	-39	1	1				1	Pass
A00039593	NKI	FLU1	-50	1			1		1	Pass
A00039593	NKI	FLU2	-45		1	1		0.75	0.916666667	Artifact
A00039607	NKI	BAS1	-41			1	1	1	1	Pass
A00039635	NKI	BAS1	-40			1	1	1	1	Pass
A00039636	NKI	BAS1	-49	1	1				1	Pass
A00039639	NKI	BAS1	-59		0.75	1		1	0.916666667	Artifact
A00039640	NKI	BAS1	-40		1	1		1	1	Pass
A00039655	NKI	BAS1	-74	1	1	1	1	1	1	Pass
A00039657	NKI	BAS1	-154		1	1		1	1	Pass
A00039669	NKI	BAS1	-52			1	1	1	1	Pass
A00039685	NKI	BAS1	-40			1	1	1	1	Pass
A00039685	NKI	BAS2	-28	1	1				1	Pass
A00039686	NKI	BAS1	-149	1	0.5	0.75	1	0.75	0.8	Artifact
A00039699	NKI	BAS1	-52		1	1		1	1	Pass
A00039700	NKI	BAS1	-42	1	1				1	Pass
A00039755	NKI	BAS1	-44	1	1	1	1	1	1	Pass
A00039756	NKI	BAS1	-65			1	1	1	1	Pass
A00039758	NKI	BAS1	-38	1	1	1	1	1	1	Pass
A00039758	NKI	BAS2	-31			1	1	1	1	Pass
A00039758	NKI	FLU1	-41			1	1	1	1	Pass
A00039783	NKI	BAS1	-116	1	1	1	1	1	1	Pass
A00039819	NKI	BAS1	-48	1	1				1	Pass
A00039820	NKI	BAS1	-55		0.75	1		0.75	0.833333333	Artifact
A00039820	NKI	BAS2	-66	1	1	1	1	1	1	Pass
A00039820	NKI	FLU1	-82	1	0.75				0.875	Artifact
A00039820	NKI	FLU2	-51			1	1	1	1	Pass
A00039845	NKI	BAS1	-79	1	1	1	1	0.75	0.95	Artifact
A00039846	NKI	BAS1	-42			1	1	1	1	Pass
A00039846	NKI	BAS2	-52	1	1	1	1	1	1	Pass
A00039846	NKI	FLU1	-47		1	1		1	1	Pass
A00039866	NKI	BAS1	-52	1	1				1	Pass
A00039895	NKI	BAS1	-55	1	1	1	1	1	1	Pass
A00039916	NKI	BAS1	-71			1	1	1	1	Pass
A00039923	NKI	BAS1	-57		1	1		0.75	0.916666667	Artifact
A00039943	NKI	BAS1	-50	1	1	1	1	1	1	Pass
A00039943	NKI	FLU1	-114			1	1	1	1	Pass
A00039943	NKI	FLU2	-39	1	1	1	1	1	1	Pass
A00039943	NKI	TRT	-74		1	1		1	1	Pass
A00039951	NKI	BAS1	-43			1	1	1	1	Pass
A00039951	NKI	BAS2	-59	0.5	0.75				0.625	Artifact
A00039951	NKI	FLU1	-59	1			1		1	Pass
A00039951	NKI	FLU2	-68	0.5	1	1	0.75	0.5	0.75	Artifact
A00039952	NKI	BAS1	-89	1			1		1	Pass
A00039965	NKI	BAS1	-100		1	1		1	1	Pass
A00039966	NKI	BAS1	-62	1	1				1	Pass
A00039974	NKI	BAS1	-35	1	0.75				0.875	Artifact
A00039975	NKI	BAS1	-98		1	1		1	1	Pass
A00039975	NKI	BAS2	-93	1	1	1	1	1	1	Pass
A00039975	NKI	FLU1	-131	1	1	1	0.75	0.75	0.9	Artifact
A00039988	NKI	BAS1	-83	1			1		1	Pass
A00040054	NKI	BAS1	-315	1			0.75		0.875	Artifact
A00040055	NKI	BAS1	-78	1	1	1	1	1	1	Pass
A00040091	NKI	BAS1	-73	1			1		1	Pass
A00040104	NKI	BAS1	-38	1	1	1	1	1	1	Pass
A00040116	NKI	BAS1	-30	1			1		1	Pass
A00040117	NKI	BAS1	-105	1			1		1	Pass
A00040117	NKI	FLU1	-89	1	0.75				0.875	Artifact
A00040117	NKI	FLU2	-52			1	1	1	1	Pass
A00040117	NKI	TRT	-408	0.25			0.5		0.375	Artifact
A00040151	NKI	BAS1	-49		1	1		1	1	Pass
A00040152	NKI	BAS1	-66		1	1		1	1	Pass
A00040174	NKI	BAS1	-41	1			1		1	Pass
A00040181	NKI	BAS1	-55		1	1		1	1	Pass
A00040182	NKI	BAS1	-94		1	1		1	1	Pass
A00040193	NKI	BAS1	-87	1	1	1	1	1	1	Pass
A00040225	NKI	BAS1	-79		1	1		1	1	Pass
A00040225	NKI	BAS2	-90	1	1				1	Pass
A00040226	NKI	BAS1	-27		1	1		1	1	Pass
A00040248	NKI	BAS1	-134	1	0.75	1			0.916666667	Artifact
A00040257	NKI	BAS1	-55			1	1	1	1	Pass
A00040285	NKI	BAS1	-42	1	1	1	1	1	1	Pass
A00040285	NKI	BAS2	-61			1	1	1	1	Pass
A00040285	NKI	FLU1	-79		1	1		1	1	Pass
A00040285	NKI	FLU2	-96			1	1	1	1	Pass
A00040286	NKI	BAS1	-32	1	1	1	1	1	1	Pass
A00040286	NKI	BAS2	-52	1	1				1	Pass
A00040286	NKI	FLU1	-36		1	1		1	1	Pass
A00040286	NKI	FLU2	-45		1	1		1	1	Pass
A00040301	NKI	BAS1	-73	1	1	1	1	1	1	Pass
A00040311	NKI	BAS1	-71	1			1		1	Pass
A00040311	NKI	BAS2	-93	1	1	1	1	1	1	Pass
